  -39000  -37050,     0.787315,     0.159330,    -0.470393,    -0.976808,    -1.281475,    -1.180624,    -0.832103,    -0.203505,     0.466412,     1.040499,     1.270991,     1.220362
  -38000  -36050,     0.987449,     0.294919,    -0.406254,    -1.012948,    -1.408764,    -1.360103,    -1.029459,    -0.360259,     0.396984,     1.077280,     1.403505,     1.417649
  -37000  -35050,     1.202567,     0.463525,    -0.294345,    -1.003213,    -1.500211,    -1.524316,    -1.235861,    -0.550436,     0.279537,     1.062233,     1.498909,     1.601610
  -36000  -34050,     1.420154,     0.658422,    -0.135839,    -0.942869,    -1.546238,    -1.661332,    -1.438824,    -0.764691,     0.117022,     0.990454,     1.545941,     1.757798
  -35000  -33050,     1.624767,     0.869311,     0.064307,    -0.829941,    -1.538820,    -1.759274,    -1.624238,    -0.990373,    -0.083404,     0.861072,     1.535416,     1.871178
  -34000  -32050,     1.799008,     1.082384,     0.296723,    -0.666167,    -1.472581,    -1.807375,    -1.777369,    -1.212187,    -0.310333,     0.678231,     1.461855,     1.927811
  -33000  -31050,     1.925161,     1.280959,     0.547418,    -0.457798,    -1.345893,    -1.797153,    -1.884091,    -1.413280,    -0.548648,     0.451514,     1.324938,     1.916874
  -32000  -30050,     1.987354,     1.446801,     0.798167,    -0.216079,    -1.161869,    -1.723588,    -1.932245,    -1.576638,    -0.780612,     0.195638,     1.130422,     1.832650
  -31000  -29050,     1.973975,     1.562062,     1.027671,     0.042791,    -0.929077,    -1.586205,    -1.912993,    -1.686634,    -0.987370,    -0.070584,     0.890263,     1.676101
  -30000  -28050,     1.879861,     1.611674,     1.213538,     0.298410,    -0.661809,    -1.389936,    -1.822067,    -1.730570,    -1.150663,    -0.325900,     0.621858,     1.455605
  -29000  -27050,     1.707792,     1.585762,     1.334934,     0.527757,    -0.379680,    -1.145615,    -1.660800,    -1.700090,    -1.254560,    -0.548608,     0.346474,     1.186633
  -28000  -26050,     1.468856,     1.481590,     1.375549,     0.707582,    -0.106401,    -0.869913,    -1.436811,    -1.592344,    -1.287010,    -0.718628,     0.087157,     0.890373
  -27000  -25050,     1.181576,     1.304559,     1.326300,     0.817351,     0.132343,    -0.584555,    -1.164217,    -1.410836,    -1.241139,    -0.819373,    -0.133546,     0.591536
  -26000  -24050,     0.869935,     1.067975,     1.187177,     0.842258,     0.311776,    -0.314672,    -0.863181,    -1.165842,    -1.116189,    -0.839306,    -0.295719,     0.315787
  -25000  -23050,     0.560718,     0.791620,     0.967754,     0.775698,     0.411296,    -0.086334,    -0.558663,    -0.874284,    -0.918086,    -0.773069,    -0.383848,     0.087198
