YearBP, JanDiff, FebDiff, MarDiff, AprDiff, MayDiff, JunDiff, JulDiff, AugDiff, SepDiff, OctDiff, NovDiff, DecDiff
  -11000,    2.993645,    1.168076,    0.097050,    0.064963,    1.128831,    3.002047,   -5.182734,   -7.111972,   -8.209763,   -8.213193,   -7.118067,   -5.218348
  -10000,    3.453122,    1.495534,    0.160655,   -0.205319,    0.553177,    2.226898,   -4.361302,   -6.411391,   -7.765466,   -8.098726,   -7.320070,   -5.633361
   -9000,    3.737725,    1.744394,    0.215217,   -0.459380,   -0.031618,    1.376787,   -3.376410,   -5.455526,   -6.995032,   -7.625511,   -7.180892,   -5.773804
   -8000,    3.821296,    1.891322,    0.255676,   -0.674314,   -0.574584,    0.523824,   -2.310724,   -4.325590,   -5.966323,   -6.837916,   -6.715831,   -5.628387
   -7000,    3.697495,    1.922775,    0.278220,   -0.830153,   -1.026700,   -0.257231,   -1.255883,   -3.118736,   -4.769784,   -5.808277,   -5.970500,   -5.213556
   -6000,    3.380725,    1.836874,    0.280797,   -0.912294,   -1.346182,   -0.896074,   -0.304626,   -1.940022,   -3.510659,   -4.630041,   -5.015973,   -4.571603
   -5000,    2.904347,    1.643720,    0.263401,   -0.913454,   -1.503551,   -1.334409,    0.458108,   -0.893043,   -2.299653,   -3.408938,   -3.941328,   -3.765726
   -4000,    2.316504,    1.364079,    0.228092,   -0.834723,   -1.485530,   -1.532856,    0.964114,   -0.070046,   -1.242818,   -2.253074,   -2.844595,   -2.872876
   -3000,    1.674379,    1.026679,    0.178715,   -0.685466,   -1.296952,   -1.475990,    1.169670,    0.457397,   -0.431623,   -1.262964,   -1.823235,   -1.975527
   -2000,    1.037869,    0.664697,    0.120393,   -0.482059,   -0.960203,   -1.174488,    1.060809,    0.645983,    0.065769,   -0.522458,   -0.965214,   -1.153513
   -1000,    0.463614,    0.312042,    0.058897,   -0.245739,   -0.512272,   -0.663867,    0.655174,    0.485482,    0.211138,   -0.091316,   -0.341433,   -0.476840
       0,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000
